timestamp,distance,speed,throttle,brake
0.000000,0.000,0.00,0.0000,0.0000
0.001920,0.000,188.13,0.0000,0.2425
0.001924,1.021,183.81,0.0000,0.1666
0.001928,2.027,180.99,0.0000,0.0969
0.065797,3.023,179.43,0.0000,0.0456
0.065808,0.000,0.00,0.0000,0.0000
0.065811,0.000,178.73,0.0000,0.0204
0.065814,0.991,178.37,0.0000,0.0237
0.121183,1.979,177.85,0.0000,0.0527
0.121197,2.961,176.72,0.0000,0.0998
0.196353,3.931,174.71,0.0000,0.1536
0.196363,0.000,0.00,0.0000,0.0000
0.196366,0.000,171.78,0.0000,0.2017
0.196369,0.934,168.12,0.0000,0.2330
0.196371,1.845,164.07,0.0000,0.2402
0.339567,2.735,160.09,0.0000,0.2208
0.339582,0.000,0.00,0.0000,0.0000
0.339587,0.000,156.60,0.0000,0.1763
0.339590,0.855,153.95,0.0000,0.1120
0.339592,1.702,152.39,0.0000,0.0349
0.339593,2.547,152.06,0.4535,0.0000
0.339595,0.000,0.00,0.0000,0.0000
0.403872,0.000,153.00,0.5420,0.0000
0.403886,0.862,155.12,0.6158,0.0000
0.403891,1.741,158.25,0.6647,0.0000
0.478995,2.641,162.06,0.6798,0.0000
0.479008,3.564,166.07,0.6539,0.0000
0.479010,0.000,0.00,0.0000,0.0000
0.479013,0.000,169.66,0.5835,0.0000
0.479015,0.956,172.12,0.4708,0.0000
0.558811,1.916,172.77,0.0000,0.0657
0.558823,2.867,171.09,0.0000,0.2085
0.558827,3.794,166.94,0.0000,0.3495
0.558831,0.000,0.00,0.0000,0.0000
0.558834,0.000,160.55,0.0000,0.4724
0.626104,0.847,152.50,0.0000,0.5655
0.626117,1.645,143.53,0.0000,0.6240
0.626120,2.391,134.31,0.0000,0.6488
0.706712,0.000,0.00,0.0000,0.0000
0.706724,0.000,125.42,0.0000,0.6450
0.706727,0.651,117.19,0.0000,0.6195
0.706734,1.261,109.81,0.0000,0.5789
0.786459,1.835,103.34,0.0000,0.5291
0.786478,2.378,97.77,0.0000,0.4747
0.786482,0.000,0.00,0.0000,0.0000
0.786486,0.000,93.03,0.0000,0.4190
0.786489,0.495,89.03,0.0000,0.3646
0.876748,0.971,85.68,0.0000,0.3131
0.876762,1.431,82.91,0.0000,0.2657
0.876766,1.879,80.62,0.0000,0.2232
0.876769,0.000,0.01,0.0000,0.0000
0.876773,0.000,78.74,0.0000,0.1860
0.962152,0.429,77.21,0.0000,0.1544
0.962192,0.851,75.96,0.0000,0.1284
0.962196,1.267,74.94,0.0000,0.1079
