timestamp,distance,speed,throttle,brake
0.000000,0.000,0.00,0.0000,0.0000
0.002338,0.000,83.76,0.4407,0.0000
0.002342,0.467,84.04,0.4762,0.0000
0.002346,0.937,84.59,0.5143,0.0000
0.070372,1.411,85.42,0.5538,0.0000
0.070409,1.892,86.57,0.5931,0.0000
0.070417,0.000,0.00,0.0000,0.0000
0.070423,0.000,88.03,0.6307,0.0000
0.138650,0.499,89.83,0.6648,0.0000
0.138663,1.010,91.94,0.6935,0.0000
0.138666,1.534,94.34,0.7149,0.0000
0.218130,0.000,0.00,0.0000,0.0000
0.218143,0.000,96.98,0.7268,0.0000
0.218146,0.555,99.81,0.7274,0.0000
0.218150,1.125,102.73,0.7148,0.0000
0.218153,1.712,105.62,0.6877,0.0000
0.301637,2.314,108.32,0.6455,0.0000
0.301652,0.000,0.00,0.0000,0.0000
0.301656,0.000,110.68,0.5886,0.0000
0.301658,0.625,112.51,0.5186,0.0000
0.301660,1.257,113.66,0.4387,0.0000
0.402077,1.890,114.01,0.0000,0.0411
0.402095,2.520,113.48,0.0000,0.1164
0.402102,0.000,0.00,0.0000,0.0000
0.402106,0.000,112.08,0.0000,0.1872
0.402115,0.611,109.90,0.0000,0.2491
0.402119,1.205,107.09,0.0000,0.2984
0.494120,1.782,103.81,0.0000,0.3329
0.494132,2.339,100.28,0.0000,0.3516
0.494135,0.000,0.00,0.0000,0.0000
0.494138,0.000,96.68,0.0000,0.3546
0.494141,0.518,93.18,0.0000,0.3431
0.577350,1.017,89.91,0.0000,0.3189
0.577375,1.500,86.97,0.0000,0.2837
0.577378,0.000,0.00,0.0000,0.0000
0.577381,0.000,84.43,0.0000,0.2396
0.577383,0.457,82.32,0.0000,0.1884
0.645313,0.906,80.69,0.0000,0.1319
0.645334,1.347,79.54,0.0000,0.0715
0.645340,1.786,78.89,0.0000,0.0085
0.717926,0.000,0.00,0.0000,0.0000
0.717950,0.000,78.75,0.4639,0.0000
0.717953,0.440,79.13,0.5378,0.0000
0.717956,0.884,80.03,0.6109,0.0000
0.799504,1.337,81.47,0.6821,0.0000
0.799520,1.801,83.46,0.7500,0.0000
0.799523,0.000,0.00,0.0000,0.0000
0.799526,0.000,86.02,0.8134,0.0000
0.799529,0.495,89.16,0.8706,0.0000
0.879158,1.011,92.87,0.9202,0.0000
0.879172,1.551,97.17,0.9602,0.0000
