timestamp,distance,speed,throttle,brake
0.000000,0.000,0.00,0.0000,0.0000
0.001668,0.000,74.40,0.4014,0.0000
0.001672,0.413,74.42,0.0000,0.0061
0.079959,0.827,74.38,0.0000,0.0104
0.079971,1.239,74.30,0.0000,0.0107
0.079975,1.652,74.22,0.0000,0.0066
0.079977,0.000,0.00,0.0000,0.0000
0.079981,0.000,74.16,0.4029,0.0000
0.156377,0.412,74.16,0.4195,0.0000
0.156391,0.825,74.26,0.4424,0.0000
0.156394,1.239,74.51,0.4718,0.0000
0.156397,1.655,74.95,0.5076,0.0000
0.230032,0.000,0.00,0.0000,0.0000
0.230044,0.000,75.63,0.5496,0.0000
0.230047,0.425,76.59,0.5975,0.0000
0.230052,0.858,77.88,0.6509,0.0000
0.319156,1.300,79.57,0.7092,0.0000
0.319170,1.754,81.70,0.7716,0.0000
0.319173,0.000,0.00,0.0000,0.0000
0.319177,0.000,84.36,0.8373,0.0000
0.319179,0.487,87.60,0.9051,0.0000
0.319182,0.995,91.51,0.9733,0.0000
0.415757,1.529,96.17,1.0000,0.0000
0.415789,2.094,101.65,1.0000,0.0000
0.415798,0.000,0.00,0.0000,0.0000
0.415813,0.000,108.03,1.0000,0.0000
0.415820,0.641,115.35,1.0000,0.0000
0.519433,1.328,123.60,1.0000,0.0000
0.519447,2.065,132.72,1.0000,0.0000
0.519450,0.000,0.00,0.0000,0.0000
0.519453,0.000,142.48,1.0000,0.0000
0.519455,0.847,152.53,1.0000,0.0000
0.519458,1.749,162.31,1.0000,0.0000
0.594196,2.700,171.12,0.8959,0.0000
0.594209,3.690,178.19,0.7342,0.0000
0.594212,0.000,0.00,0.0000,0.0000
0.594215,0.000,182.92,0.5645,0.0000
0.594218,1.028,185.01,0.4086,0.0000
0.679636,2.054,184.65,0.0000,0.0992
0.679651,3.067,182.45,0.0000,0.1644
0.679654,4.063,179.26,0.0000,0.1851
0.679660,0.000,0.00,0.0000,0.0000
0.679662,0.000,175.91,0.0000,0.1666
0.756619,0.962,173.07,0.0000,0.1195
0.756630,1.913,171.19,0.0000,0.0568
0.756632,2.859,170.43,0.4097,0.0000
0.756635,3.808,170.79,0.4741,0.0000
0.838890,0.000,0.00,0.0000,0.0000
0.838908,0.000,172.08,0.5179,0.0000
0.838913,0.966,173.97,0.5340,0.0000
0.838918,1.944,176.03,0.5200,0.0000
0.838922,2.932,177.79,0.4787,0.0000
0.929617,3.926,178.85,0.4187,0.0000
